what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793198752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793201358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793206133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793207326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793207618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793217055
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403793218768
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1403793235658
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1403793235862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793474938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793485147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793485646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793485678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793485711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793485744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793485777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793486214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793509058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793509557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793509589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793509622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793509655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793509688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793509839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403793510270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793550752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793552863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793553190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403793648986
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403793654920
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1403793746939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403793748665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403793752578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796347719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796349339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796349742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796349873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796354758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796358924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796359102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796360616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796360960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796366859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796370520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796378085
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403796547815
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403796551803
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403796620057
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403796650812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796658001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796659159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796659502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796664821
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1403796664838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796665970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796682455
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403796687158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796734386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796737405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796737682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796770259
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1403796770276
